Nov,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
1,32,27,21,31,28,13,100,-,91,21,-,13,29.78,-,29.74,-,0.14,-
2,31,27,23,31,27,17,100,-,66,17,-,6,29.93,-,29.76,-,0,-
3,24,19,13,19,14,10,86,-,74,21,-,5,30.06,-,29.94,-,0,-
4,19,14,8,13,10,6,92,-,73,29,-,14,30.1,-,30.03,-,0,-
5,14,12,10,11,10,8,95,-,88,31,-,9,30.04,-,30,-,0,-
6,23,16,8,20,12,5,96,-,84,18,-,9,30.02,-,29.81,-,0,-
7,31,27,22,31,24,19,100,-,72,21,-,12,30.05,-,29.83,-,0,-
8,29,22,15,25,22,14,100,-,72,14,-,0,30.1,-,30.06,-,0,-
9,23,16,8,21,12,7,100,-,86,13,-,5,30.3,-,30.09,-,0,-
10,18,17,16,14,13,11,92,-,79,17,-,0,30.47,-,30.31,-,0,-
11,16,7,-2,11,7,-3,88,-,76,16,-,5,30.56,-,30.45,-,0,-
12,8,1,-7,3,-3,-9,100,-,79,10,-,0,30.58,-,30.54,-,0,-
13,4,-1,-7,-1,-5,-9,92,-,78,16,-,5,30.54,-,30.43,-,0,-
14,17,2,-13,12,-2,-18,87,-,74,22,-,7,30.42,-,30.25,-,0,-
15,28,6,-16,23,6,-20,96,-,74,12,-,0,30.3,-,30.22,-,0,-
16,27,21,14,20,15,10,96,-,75,24,-,0,30.29,-,30.02,-,0.01,-
17,14,11,8,12,8,5,92,-,86,23,-,14,30.02,-,29.78,-,0,-
18,11,9,7,9,7,5,92,-,84,18,-,12,29.81,-,29.77,-,0,-
19,12,11,10,9,9,7,92,-,84,25,-,15,29.81,-,29.64,-,0,-
20,12,11,10,10,9,7,92,-,85,23,-,14,29.65,-,29.59,-,0.1,-
21,12,9,5,9,5,1,92,-,79,23,-,16,29.94,-,29.65,-,0.01,-
22,5,0,-6,1,-4,-10,92,-,82,29,-,16,30.25,-,29.95,-,0.02,-
23,4,-1,-7,0,-7,-11,92,-,78,20,-,10,30.27,-,30.16,-,0,-
24,-3,-10,-18,-7,-11,-19,87,-,78,21,-,7,30.17,-,29.99,-,0.01,-
25,-8,-11,-14,-13,-16,-18,82,-,71,20,-,7,29.98,-,29.84,-,0,-
26,6,-2,-10,3,-4,-15,87,-,71,32,-,16,29.85,-,29.54,-,0.09,-
27,5,3,0,1,-2,-3,92,-,80,34,-,23,29.67,-,29.53,-,0.17,-
28,1,0,-2,-1,-3,-6,92,-,78,29,-,20,29.92,-,29.66,-,0.07,-
29,-2,-4,-7,-6,-8,-10,92,-,82,25,-,17,30.02,-,29.92,-,0,-
30,-2,-4,-6,-5,-9,-10,92,-,83,25,-,20,30.01,-,29.79,-,0,-
