Nov,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
1,63,60,57,55,53,50,90,-,65,20,-,7,30.14,-,30.01,-,0.02,-
2,63,58,55,54,50,47,93,-,60,15,-,0,30.28,-,29.93,-,0.22,-
3,55,54,54,52,49,47,93,-,74,17,-,7,30.3,-,29.93,-,0.17,-
4,62,57,54,53,49,45,90,-,57,21,-,4,30.05,-,29.78,-,0.12,-
5,55,52,48,47,45,43,80,-,69,9,-,5,30.13,-,30.03,-,0,-
6,55,50,46,45,43,42,89,-,62,8,-,0,30.28,-,30.14,-,0.05,-
7,52,44,37,45,40,34,90,-,59,8,-,0,30.53,-,30.29,-,0.05,-
8,50,42,35,39,35,33,100,-,59,6,-,0,30.59,-,30.46,-,0,-
9,44,38,33,39,36,31,96,-,79,8,-,0,30.42,-,30.29,-,0.1,-
10,51,45,39,40,39,37,93,-,61,7,-,0,30.46,-,30.34,-,0.01,-
11,50,42,35,38,36,33,97,-,57,8,-,0,30.48,-,30.43,-,0,-
12,59,46,33,39,31,24,92,-,29,6,-,0,30.45,-,30.35,-,0,-
13,53,45,37,38,33,26,79,-,45,13,-,0,30.38,-,30.3,-,0,-
14,55,50,46,48,44,36,86,-,63,17,-,4,30.39,-,30.24,-,0.04,-
15,55,52,48,47,46,44,90,-,67,15,-,4,30.39,-,30.19,-,0.01,-
16,55,52,48,50,47,41,93,-,71,8,-,0,30.29,-,30.19,-,0.01,-
17,54,48,41,41,36,31,89,-,47,8,-,0,30.33,-,30.24,-,0,-
18,53,44,34,37,34,31,89,-,45,6,-,0,30.24,-,30.15,-,0,-
19,53,42,32,40,35,30,100,-,52,6,-,0,30.18,-,30.05,-,0,-
20,52,43,34,41,37,32,97,-,61,8,-,0,30.05,-,29.86,-,0,-
21,51,48,44,45,40,33,90,-,54,12,-,0,29.88,-,29.67,-,0.12,-
22,51,48,45,46,44,41,90,-,74,14,-,0,29.71,-,29.48,-,0.5,-
23,51,46,42,43,42,39,90,-,74,15,-,0,29.92,-,29.64,-,0.6,-
24,48,42,36,40,38,34,93,-,69,9,-,0,30.2,-,29.96,-,0,-
25,48,41,34,42,37,32,97,-,66,8,-,0,30.19,-,30.09,-,0,-
26,55,50,45,51,47,41,93,-,83,15,-,0,30.06,-,29.64,-,1.36,-
27,59,54,48,51,48,45,93,-,67,14,-,4,29.76,-,29.6,-,0.71,-
28,51,50,46,46,45,44,93,-,77,12,-,0,29.79,-,29.7,-,0.24,-
29,51,46,42,44,43,41,96,-,77,6,-,0,29.7,-,29.65,-,0,-
30,48,46,43,43,41,39,93,-,69,13,-,0,29.79,-,29.7,-,0.18,-
