Nov,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
1,82,69,55,59,49,42,78,-,33,16,-,0,30.16,-,30.07,-,0,-
2,75,63,51,57,52,50,86,-,46,20,-,0,30.18,-,30.06,-,0,-
3,79,66,53,57,50,46,83,-,32,17,-,0,30.13,-,30.02,-,0,-
4,65,59,52,52,50,47,96,-,52,24,-,0,30.05,-,29.95,-,0,-
5,73,62,50,54,49,42,100,-,48,24,-,0,30,-,29.88,-,0,-
6,70,59,47,56,44,37,77,-,42,17,-,0,30.01,-,29.95,-,0,-
7,73,60,47,53,43,34,83,-,29,21,-,0,30.06,-,29.99,-,0,-
8,68,59,49,46,36,22,74,-,20,21,-,0,30.13,-,30.03,-,0,-
9,68,59,50,40,28,15,41,-,15,14,-,0,30.17,-,30.06,-,0,-
10,62,53,44,44,38,30,83,-,32,7,-,0,30.07,-,29.96,-,0,-
11,67,55,42,44,35,28,76,-,26,20,-,0,30.21,-,30.02,-,0,-
12,67,56,44,52,34,25,67,-,30,8,-,0,30.35,-,30.21,-,0,-
13,61,54,46,45,41,36,77,-,47,7,-,0,30.42,-,30.35,-,0,-
14,65,55,44,44,38,27,93,-,28,12,-,0,30.36,-,30.21,-,0,-
15,62,53,44,46,38,30,82,-,39,6,-,0,30.2,-,30.06,-,0,-
16,62,53,44,49,40,35,89,-,39,9,-,0,30.05,-,29.95,-,0,-
17,61,53,44,48,44,37,86,-,62,15,-,0,30.06,-,30,-,0,-
18,57,51,44,50,46,41,93,-,72,10,-,0,30.11,-,30.02,-,0,-
19,62,53,44,48,43,37,93,-,42,9,-,0,30.06,-,29.98,-,0,-
20,61,53,44,51,44,35,77,-,57,9,-,0,30.04,-,29.96,-,0,-
21,60,58,55,56,53,49,93,-,72,12,-,0,30.01,-,29.93,-,0.76,-
22,63,57,50,56,52,47,93,-,56,21,-,5,30.18,-,30,-,0.54,-
23,62,59,55,58,56,54,93,-,84,23,-,0,30.17,-,30.03,-,0.29,-
24,61,57,52,57,53,49,100,-,69,21,-,4,30.06,-,30.01,-,0,-
25,62,55,48,54,49,46,96,-,72,15,-,0,30.15,-,30.03,-,0,-
26,62,55,48,52,49,45,100,-,67,15,-,0,30.2,-,30.11,-,0,-
27,60,55,49,57,52,48,93,-,77,14,-,0,30.13,-,29.96,-,0.06,-
28,64,60,56,56,55,52,100,-,67,35,-,0,29.96,-,29.54,-,1,-
29,60,58,55,54,49,47,87,-,64,36,-,13,29.81,-,29.45,-,0.42,-
30,60,55,50,46,44,42,77,-,53,26,-,0,30.1,-,29.83,-,0,-
