Nov,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
1,49,46,43,37,34,31,73,-,56,29,-,7,29.81,-,29.37,-,0.06,-
2,45,43,40,40,37,33,89,-,63,21,-,0,29.79,-,29.42,-,0.3,-
3,50,47,44,47,44,37,100,-,73,23,-,0,29.53,-,29.33,-,0.35,-
4,48,46,44,46,44,41,100,-,83,14,-,0,29.7,-,29.4,-,0.3,-
5,47,41,35,42,36,30,97,-,56,12,-,0,30.2,-,29.74,-,0.01,-
6,46,39,32,34,31,28,92,-,53,9,-,0,30.4,-,30.22,-,0,-
7,50,42,33,39,35,31,93,-,59,28,-,0,30.37,-,30.12,-,0.04,-
8,51,48,45,48,44,38,93,-,63,25,-,5,30.14,-,29.93,-,0.49,-
9,50,47,43,48,44,40,97,-,74,23,-,0,30.35,-,30,-,0.25,-
10,47,45,43,45,43,40,97,-,86,12,-,5,30.4,-,30.35,-,0.23,-
11,50,48,45,45,43,40,97,-,71,17,-,8,30.35,-,30.22,-,0.13,-
12,54,52,49,41,37,31,71,-,43,28,-,10,30.21,-,29.76,-,0.08,-
13,53,50,46,45,42,36,90,-,56,31,-,8,29.72,-,29.11,-,0.56,-
14,49,47,45,44,42,40,97,-,71,16,-,5,29.87,-,29.62,-,0.92,-
15,48,43,37,44,42,37,100,-,86,9,-,0,30.31,-,29.88,-,0.16,-
16,47,42,36,45,40,36,100,-,80,12,-,0,30.32,-,30.1,-,0.5,-
17,54,50,47,51,49,46,100,-,80,27,-,0,30.09,-,29.94,-,1.65,-
18,52,50,47,52,49,45,100,-,80,14,-,0,29.99,-,29.89,-,0.57,-
19,52,49,45,46,43,40,96,-,66,14,-,0,29.89,-,29.58,-,0.02,-
20,51,47,43,46,44,41,100,-,74,16,-,4,29.55,-,29.49,-,0.28,-
21,46,42,38,42,40,37,100,-,74,9,-,0,29.51,-,29.36,-,0.06,-
22,47,43,39,41,38,37,96,-,71,12,-,0,29.39,-,29.32,-,0.18,-
23,44,39,34,39,37,34,97,-,76,7,-,0,29.74,-,29.39,-,0,-
24,48,42,36,39,35,31,89,-,61,18,-,4,29.72,-,29.52,-,0.04,-
25,54,51,48,41,40,39,74,-,57,31,-,10,29.61,-,29.02,-,0.09,-
26,53,50,46,46,45,42,96,-,69,23,-,0,29.26,-,29.04,-,0.68,-
27,47,44,41,45,43,41,100,-,90,7,-,0,29.39,-,29.22,-,0,-
28,45,43,40,45,43,40,100,-,96,7,-,0,29.65,-,29.39,-,0.24,-
29,43,39,34,43,39,34,100,-,81,17,-,0,29.74,-,29.66,-,0.13,-
30,39,35,31,37,34,30,100,-,89,7,-,0,30.03,-,29.75,-,0.03,-
